file,Entropy,UniqueSymbols,MeanRunLength,MaxRunLength,SymbolFreqVariance,BigramRepeatRate,TrigramRepeatRate,CharacterRepetitionRatio,AvgWordLength,WhitespaceRatio,FileSize,original_size,RLE_size,RLE_ratio,RLE_time,RLE_ok,LZW_size,LZW_ratio,LZW_time,LZW_ok,Huffman_size,Huffman_ratio,Huffman_time,Huffman_ok,best_by_size,best_by_ratio
alice_in_wonderland.txt,4.603864404,90,1.029591151,20,15853131.35,0.812172775,0.694646154,0.028740681,4.483696387,0.191307637,174350,174350,341172,0.5110325583576613,0.1287064552307129,True,79679,2.1881549718244457,0.1566808223724365,True,104442,1.6693475804752878,0.0943937301635742,True,LZW,LZW
Bumps and His Buddies.txt,4.573309182,89,1.03301041,45,3326962.162,0.793519216,0.665085389,0.031955545,4.602212896,0.188504077,76295,76295,148370,0.5142212037473883,0.0493357181549072,True,41197,1.851955239459184,0.0408327579498291,True,44818,1.7023294212146904,0.0255694389343261,True,LZW,LZW
class.py,4.625859034,42,1.168161435,8,240.4314059,0.565217391,0.306666667,0.143953935,6.796610169,0.230326296,552,552,956,0.5774058577405857,0.0012884140014648,True,613,0.9004893964110929,0.0005221366882324,True,325,1.6984615384615385,0.0003986358642578,True,Huffman,Huffman
classtest2.3.py,4.623684254,54,1.109926169,8,1597.16358,0.63003663,0.43006263,0.099039172,7.635714286,0.209903917,1389,1389,2516,0.5520667726550079,0.0006685256958007,True,1247,1.1138732959101845,0.0009641647338867,True,820,1.6939024390243902,0.0009815692901611,True,Huffman,Huffman
combined_data.csv,3.619879311,15,1.042119135,5,121804000000000.0,0.994252874,0.997584541,0.040416814,75869.757,1.32e-05,303487028,303487028,582442422,0.5210592781993479,156.08922123908997,True,148002817,2.050548997320774,247.3477938175201,True,139673087,2.172838264826208,3688.1870794296265,False,LZW,LZW
c_cpp_properties.json,4.3457494,41,1.284090909,8,212.0499703,0.481481481,0.415662651,0.221238938,8.481481481,0.324483776,339,339,528,0.6420454545454546,0.0076832771301269,True,407,0.8329238329238329,0.0034608840942382,True,186,1.8225806451612905,0.0024030208587646,False,LZW,LZW
EEG_DATA.csv,3.61985779,15,1.042107682,5,30453900000000.0,0.994252874,0.992248062,0.040406268,75869.778,1.32e-05,151743556,151743556,291224492,0.521053552048088,80.35199975967407,True,78020477,1.9449196138598333,108.23085236549376,True,69837198,2.172818502827104,44.03395175933838,False,LZW,LZW
email_text.txt,4.651562352,43,1.032019704,2,133.1206057,0.433179724,0.150724638,0.031026253,5.384615385,0.164677804,436,436,854,0.5105386416861827,0.010507583618164,True,611,0.7135842880523732,0.0029981136322021,True,259,1.6833976833976834,0.0026774406433105,False,LZW,LZW
launch.json,4.458896837,51,1.245398773,10,517.2318339,0.468181818,0.295597484,0.197044335,8.958333333,0.293924466,609,609,978,0.6226993865030674,0.0015008449554443,True,677,0.8995568685376661,0.0007874965667724,True,342,1.780701754385965,0.0003936290740966,True,Huffman,Huffman
Rectangle.py,5.177919982,63,1.089965398,10,936.5079365,0.598445596,0.401550388,0.082539683,10.3255814,0.154285714,1643,1643,3040,0.5404605263157894,0.0012362003326416,True,1551,1.059316569954868,0.001511812210083,True,1077,1.5255338904363973,0.0009589195251464,False,LZW,LZW
sensor_data.txt,3.774965714,31,1.065250379,2,1064.422477,0.465909091,0.338842975,0.061253561,15.71428571,0.05982906,723,723,1360,0.5316176470588235,0.000352144241333,True,493,1.4665314401622718,0.0004434585571289,True,353,2.048158640226629,0.0010085105895996,False,LZW,LZW
sherlock_holmes.txt,4.292557496,96,1.1082849,16,400872405.2,0.823428571,0.729489584,0.097704931,4.428987017,0.26400217,719665,719665,1309362,0.549630277952163,0.3426656723022461,True,384151,1.8733909322115525,0.3101651668548584,True,399951,1.79938292440824,0.223644733428955,True,LZW,LZW
system_log1.log,4.980962126,57,1.07127193,3,426.8925823,0.548387097,0.403278689,0.066530194,7.723214286,0.114636643,996,996,1862,0.5349087003222341,0.0005853176116943,True,891,1.117845117845118,0.0010449886322021,True,631,1.578446909667195,0.0006096363067626,True,Huffman,Huffman
system_log2.log,5.094358664,52,1.064794816,3,335.3831361,0.613861386,0.461267606,0.060851927,7.882882883,0.112576065,1004,1004,1888,0.5317796610169492,0.0005536079406738,True,913,1.099671412924425,0.000659704208374,True,648,1.5493827160493827,0.0010004043579101,True,Huffman,Huffman
